"BALKRISIND" In-SE-For-A-While LTP=1637.5  RSI=43.84415584415592  SUPERTEND=1652.5752592592592 down MACD= Cross-Over below line TIMESTAMP=2020-12-04 12:44:48.887801
"DIVISLAB" Might-Give-A-LE-Signal LTP=3697.2  RSI=55.49313358302116  SUPERTEND=3670.7323973778434 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 12:48:31.334515
"BALKRISIND" In-SE-For-A-While LTP=1637.1  RSI=44.65608465608462  SUPERTEND=1648.8836896570126 down MACD= Cross-Over below line TIMESTAMP=2020-12-04 12:48:32.321316
"DIVISLAB" Waiting-for-LE LTP=3700.0  RSI=56.0057589469354  SUPERTEND=3670.7323973778434 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 12:48:42.546014
"DIVISLAB" LE-failed LTP=3690.0  RSI=53.986710963455124  SUPERTEND=3670.7323973778434 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 12:51:08.226776
"BALKRISIND" In-SE-For-A-While LTP=1634.4  RSI=43.415637860082356  SUPERTEND=1648.3236896570124 down MACD= Cross-Over below line TIMESTAMP=2020-12-04 12:56:07.969040
"BALKRISIND" In-SE-For-A-While LTP=1636.25  RSI=44.25799685369691  SUPERTEND=1648.3236896570124 down MACD= Cross-Over below line TIMESTAMP=2020-12-04 12:58:23.750822
"AUROPHARMA" Might-Give-A-LE-Signal LTP=901.95  RSI=56.468673718470335  SUPERTEND=895.111122991934 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:09:35.915994
"DIVISLAB" Might-Give-A-LE-Signal LTP=3709.5  RSI=55.942327497425325  SUPERTEND=3679.777348405534 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:09:36.102995
"AUROPHARMA" Waiting-for-LE LTP=902.1  RSI=56.57467532467534  SUPERTEND=895.111122991934 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:09:42.110975
"DIVISLAB" Waiting-for-LE LTP=3707.65  RSI=55.60398505603986  SUPERTEND=3679.777348405534 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:09:43.168548
"AUROPHARMA" LE LTP=902.4  RSI=56.78513731825524  SUPERTEND=895.111122991934 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:12:01.325721
"AUROPHARMA" buy already LTP=903.75  RSI=57.70750988142292  SUPERTEND=895.111122991934 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:12:06.778201
"DIVISLAB" LE LTP=3705.35  RSI=55.17602682313493  SUPERTEND=3679.777348405534 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:12:09.762430
"DIVISLAB" buy already LTP=3705.05  RSI=55.11959714645407  SUPERTEND=3679.777348405534 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:12:14.879557
"AUROPHARMA" Might-Give-A-LE-Signal LTP=902.75  RSI=56.711675933280404  SUPERTEND=896.1221758600437 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:16:58.784795
"DIVISLAB" In-LE-For-A-While LTP=3700.05  RSI=55.05868069607448  SUPERTEND=3680.239197942882 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:16:59.338183
"AUROPHARMA" Waiting-for-LE LTP=902.75  RSI=56.711675933280404  SUPERTEND=896.1221758600437 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:17:05.667898
"AUROPHARMA" LE LTP=902.8  RSI=56.756756756756744  SUPERTEND=896.1221758600437 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:19:08.048537
"AUROPHARMA" buy already LTP=903.0  RSI=56.93779904306223  SUPERTEND=896.1221758600437 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:19:14.424256
"DIVISLAB" In-LE-For-A-While LTP=3705.95  RSI=56.40547263681585  SUPERTEND=3679.5134263673735 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:24:13.278468
"AUROPHARMA" Might-Give-A-LE-Signal LTP=903.75  RSI=57.50595710881655  SUPERTEND=895.3121758600438 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:24:15.323078
"AUROPHARMA" Waiting-for-LE LTP=903.75  RSI=57.50595710881655  SUPERTEND=895.3121758600438 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:24:22.368604
